순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
10060	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS DRUG DISCOVERY	영국	14741776	101.8	0.1
10066	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS MATERIALS	영국	20588437	87.2	0.1
10061	국제전문학술지(SCIE)	SPRINGERNATURE	NATURE REVIEWS EARTH & ENVIRONMENT	영국	2662138X	71.5	0.1
9850	국제전문학술지(SCIE)	CENTERS  DISEASE CONTROL & PREVENTION	MMWR RECOMMENDATIONS AND REPORTS	미국	10575987	60.1	0.1
10035	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE ELECTRONICS	영국	25201131	40.9	0.1
12582	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR	미국	23270608	31.1	0.1
13841	국제전문학술지(SSCI)	SPRINGER	INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION	영국	23659440	16.7	0.1
13295	국제전문학술지(SSCI)	ELSEVIER	ENERGY ECONOMICS	네덜란드	01409883	14.2	0.1
3125	국제전문학술지(SCIE)	CAMBRIDGE UNIV PRESS	ACTA NUMERICA	미국	09624929	11.3	0.1
11596	국제전문학술지(SCIE)	SIAM PUBLICATIONS	SIAM REVIEW	미국	00361445	6.1	0.1
13409	국제전문학술지(SSCI)	COLEGIO OFICIAL PSICOLOGOS MADRID	EUROPEAN JOURNAL OF PSYCHOLOGY APPLIED TO LEGAL CONTEXT	스페인	18891861	5.5	0.1
16783	국제전문학술지(A&HCI)	CAMBRIDGE UNIV PRESS	JOURNAL OF ECONOMIC HISTORY	미국	00220507	2.9	0.1
4533	국제전문학술지(SCIE)	WILEY	CA-A CANCER JOURNAL FOR CLINICIANS	미국	00079235	232.4	0.2
10069	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS MOLECULAR CELL BIOLOGY	영국	14710072	90.2	0.2
9375	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	LANCET	미국	01406736	88.5	0.2
12350	국제전문학술지(SCIE)	WILEY	WORLD PSYCHIATRY	미국	17238617	65.8	0.2
15920	국제전문학술지(SSCI)	WILEY	WORLD PSYCHIATRY	미국	17238617	65.8	0.2
4776	국제전문학술지(SCIE)	AMER CHEMICAL SOC	CHEMICAL REVIEWS	미국	00092665	55.8	0.2
11604	국제전문학술지(SCIE)	SPRINGERNATURE	SIGNAL TRANSDUCTION AND TARGETED THERAPY	영국	20959907	52.7	0.2
6808	국제전문학술지(SCIE)	IEEE	IEEE COMMUNICATIONS SURVEYS AND TUTORIALS	미국	1553877X	46.7	0.2
9386	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	LANCET NEUROLOGY	미국	14744422	45.5	0.2
10056	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS CARDIOLOGY	미국	17595002	44.2	0.2
12584	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF PSYCHOLOGY	미국	00664308	29.4	0.2
10072	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS NEUROSCIENCE	영국	1471003X	26.7	0.2
3699	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF PLANT BIOLOGY	미국	15435008	26.5	0.2
12094	국제전문학술지(SCIE)	CELL PRESS	TRENDS IN ECOLOGY & EVOLUTION	영국	01695347	17.3	0.2
12415	국제전문학술지(SSCI)	ACAD MANAGEMENT	ACADEMY OF MANAGEMENT ANNALS	미국	19416520	16.5	0.2
7659	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	JACC-CARDIOVASCULAR IMAGING	미국	1936878X	15.2	0.2
11163	국제전문학술지(SCIE)	RADIOLOGICAL SOC NORTH AMERICA (RSNA)	RADIOLOGY	미국	00338419	15.2	0.2
7677	국제전문학술지(SCIE)	AMER MEDICAL ASSOC	JAMA SURGERY	미국	21686254	14.9	0.2
13947	국제전문학술지(SSCI)	TAYLOR & FRANCIS INC	INTERNATIONAL JOURNAL OF TRANSGENDER HEALTH	미국	26895269	14.8	0.2
15353	국제전문학술지(SSCI)	OXFORD UNIV PRESS INC	QUARTERLY JOURNAL OF ECONOMICS	미국	00335533	12.7	0.2
14333	국제전문학술지(SSCI)	ELSEVIER SCIENCE SA	JOURNAL OF FINANCIAL ECONOMICS	스위스	0304405X	12	0.2
12583	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF POLITICAL SCIENCE	미국	10942939	9.5	0.2
12587	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF SOCIOLOGY	미국	03600572	9	0.2
14053	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ADVERTISING	영국	00913367	7	0.2
15817	국제전문학술지(SSCI)	MIT PRESS	TRANSACTIONS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS	미국	2307387X	6.9	0.2
10068	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS MICROBIOLOGY	영국	17401526	103.3	0.3
10065	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS IMMUNOLOGY	영국	14741733	60.9	0.3
10036	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE ENERGY	영국	20587546	60.1	0.3
10064	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS GENETICS	영국	14710056	52	0.3
10063	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS GASTROENTEROLOGY & HEPATOLOGY	미국	17595045	51.6	0.3
10044	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE MEDICINE	미국	10788956	50	0.3
10026	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE CATALYSIS	영국	25201158	44.6	0.3
10062	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS ENDOCRINOLOGY	미국	17595029	42.3	0.3
10073	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS PHYSICS	영국	25225820	39.5	0.3
11012	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	PROGRESS IN ENERGY AND COMBUSTION SCIENCE	영국	03601285	37	0.3
3682	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF FLUID MECHANICS	미국	00664189	30.2	0.3
2984	국제전문학술지(SCIE)	ASSOC COMPUTING MACHINERY	ACM COMPUTING SURVEYS	미국	03600300	28	0.3
15018	국제전문학술지(SSCI)	NATURE PORTFOLIO	NATURE CLIMATE CHANGE	영국	1758678X	27.1	0.3
15021	국제전문학술지(SSCI)	NATURE PORTFOLIO	NATURE SUSTAINABILITY	영국	23989629	27.1	0.3
13868	국제전문학술지(SSCI)	ELSEVIER SCI LTD	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	영국	02684012	27	0.3
10042	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE MACHINE INTELLIGENCE	영국	25225839	23.9	0.3
10037	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE FOOD	영국	26621355	21.9	0.3
7675	국제전문학술지(SCIE)	AMER MEDICAL ASSOC	JAMA PEDIATRICS	미국	21686203	18	0.3
12575	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF CLINICAL PSYCHOLOGY	미국	15485943	16.5	0.3
10620	국제전문학술지(SCIE)	WILEY	PERIODONTOLOGY 2000	미국	09066713	15.7	0.3
10268	국제전문학술지(SCIE)	NATURE PORTFOLIO	NPJ DIGITAL MEDICINE	영국	23986352	15.1	0.3
5114	국제전문학술지(SCIE)	ELSEVIER SCI LTD	COMPOSITES PART B-ENGINEERING	영국	13598368	14.2	0.3
4047	국제전문학술지(SCIE)	ELSEVIER	AUTOMATION IN CONSTRUCTION	네덜란드	09265805	11.5	0.3
13265	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	EDUCATIONAL PSYCHOLOGIST	영국	00461520	11.4	0.3
13154	국제전문학술지(SSCI)	SAGE PUBLICATIONS LTD	DIALOGUES IN HUMAN GEOGRAPHY	영국	20438206	9.6	0.3
8865	국제전문학술지(SCIE)	AUSTRALIAN PHYSIOTHERAPY ASSOC	JOURNAL OF PHYSIOTHERAPY	호주	18369553	9.4	0.3
3666	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF ANIMAL BIOSCIENCES	미국	21658102	8.7	0.3
7435	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	INTERNATIONAL JOURNAL OF NURSING STUDIES	영국	00207489	7.1	0.3
13899	국제전문학술지(SSCI)	PERGAMON-ELSEVIER SCIENCE LTD	INTERNATIONAL JOURNAL OF NURSING STUDIES	영국	00207489	7.1	0.3
3103	국제전문학술지(SCIE)	INT PRESS BOSTON, INC	ACTA MATHEMATICA	미국	00015962	6.7	0.3
13982	국제전문학술지(SSCI)	MIT PRESS	INTERNATIONAL SECURITY	미국	01622889	6.1	0.3
15926	국제전문학술지(SSCI)	YALE LAW J CO INC	YALE LAW JOURNAL	미국	00440094	5.2	0.3
13441	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	EUROPEAN SECURITY	영국	09662839	3.6	0.3
15124	국제전문학술지(SSCI)	OXFORD UNIV PRESS	PAST & PRESENT	영국	00312746	2.4	0.3
17226	국제전문학술지(A&HCI)	OXFORD UNIV PRESS	PAST & PRESENT	영국	00312746	2.4	0.3
9330	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	KIDNEY INTERNATIONAL SUPPLEMENTS	미국	21571724	89.6	0.4
10067	국제전문학술지(SCIE)	SPRINGERNATURE	NATURE REVIEWS METHODS PRIMERS		26628449	56	0.4
9851	국제전문학술지(SCIE)	CENTERS  DISEASE CONTROL & PREVENTION	MMWR SURVEILLANCE SUMMARIES	미국	15458636	49.8	0.4
11283	국제전문학술지(SCIE)	AMER PHYSICAL SOC	REVIEWS OF MODERN PHYSICS	미국	00346861	44.8	0.4
10050	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE PHOTONICS	영국	17494885	32.9	0.4
5758	국제전문학술지(SCIE)	ROYAL SOC CHEMISTRY	ENERGY & ENVIRONMENTAL SCIENCE	영국	17545692	31	0.4
9384	국제전문학술지(SCIE)	ELSEVIER SCI LTD	LANCET INFECTIOUS DISEASES	영국	14733099	31	0.4
10955	국제전문학술지(SCIE)	IEEE	PROCEEDINGS OF THE IEEE	미국	00189219	25.9	0.4
5589	국제전문학술지(SCIE)	CHURCHILL LIVINGSTONE	DRUG RESISTANCE UPDATES	스코틀랜드	13687646	21.7	0.4
3687	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF MARINE SCIENCE	미국	19411405	18.9	0.4
5150	국제전문학술지(SCIE)	TSINGHUA UNIV PRESS	COMPUTATIONAL VISUAL MEDIA	중국	20960433	18.3	0.4
4472	국제전문학술지(SCIE)	BMJ PUBLISHING GROUP	BRITISH JOURNAL OF SPORTS MEDICINE	영국	03063674	16.3	0.4
6769	국제전문학술지(SCIE)	OXFORD UNIV PRESS	HUMAN REPRODUCTION UPDATE	영국	13554786	16.1	0.4
11013	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	PROGRESS IN LIPID RESEARCH	영국	01637827	14.9	0.4
13716	국제전문학술지(SSCI)	BMC	IMPLEMENTATION SCIENCE	영국	17485908	13.4	0.4
15808	국제전문학술지(SSCI)	ELSEVIER SCI LTD	TOURISM MANAGEMENT	영국	02615177	12.4	0.4
3857	국제전문학술지(SCIE)	SPRINGER	ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING	네덜란드	11343060	12.1	0.4
10909	국제전문학술지(SCIE)	ELSEVIER	POSTHARVEST BIOLOGY AND TECHNOLOGY	네덜란드	09255214	6.8	0.4
14540	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF PEASANT STUDIES	영국	03066150	5	0.4
3775	국제전문학술지(SCIE)	SHANGHAI UNIV	APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION	중국	02534827	4.8	0.4
10058	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS CLINICAL ONCOLOGY	미국	17594774	83.2	0.5
10200	국제전문학술지(SCIE)	MASSACHUSETTS MEDICAL SOC	NEW ENGLAND JOURNAL OF MEDICINE	미국	00284793	78.5	0.5
8364	국제전문학술지(SCIE)	BMC	JOURNAL OF HEMATOLOGY & ONCOLOGY	영국	17568722	40.4	0.5
11014	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	PROGRESS IN MATERIALS SCIENCE	영국	00796425	40	0.5
4870	국제전문학술지(SCIE)	LIPPINCOTT WILLIAMS & WILKINS	CIRCULATION	미국	00097322	38.7	0.5
11282	국제전문학술지(SCIE)	AMER GEOPHYSICAL UNION	REVIEWS OF GEOPHYSICS	미국	87551209	37.3	0.5
10071	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS NEUROLOGY	미국	17594758	33.1	0.5
9393	국제전문학술지(SCIE)	ELSEVIER SCI LTD	LANCET RESPIRATORY MEDICINE	영국	22132600	32.8	0.5
3700	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF PSYCHOLOGY	미국	00664308	29.4	0.5
10030	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE CLIMATE CHANGE	영국	1758678X	27.1	0.5
11026	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	PROGRESS IN POLYMER SCIENCE	영국	00796700	26.1	0.5
9917	국제전문학술지(SCIE)	CELL PRESS	MOLECULAR PLANT	미국	16742052	24.1	0.5
10049	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE NEUROSCIENCE	미국	10976256	20	0.5
15847	국제전문학술지(SSCI)	CELL PRESS	TRENDS IN COGNITIVE SCIENCES	영국	13646613	17.2	0.5
3680	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF ENTOMOLOGY	미국	00664170	16.7	0.5
14403	국제전문학술지(SSCI)	ELSEVIER ESPANA	JOURNAL OF INNOVATION & KNOWLEDGE	스페인	25307614	15.5	0.5
11029	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	PROGRESS IN RETINAL AND EYE RESEARCH	영국	13509462	14.7	0.5
5592	국제전문학술지(SCIE)	ADIS INT LTD	DRUGS	뉴질랜드	00126667	14.4	0.5
8550	국제전문학술지(SCIE)	ELSEVIER	JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY	중국	10050302	14.3	0.5
10747	국제전문학술지(SCIE)	ELSEVIER	PHYSICS OF LIFE REVIEWS	네덜란드	15710645	14.3	0.5
8529	국제전문학술지(SCIE)	ELSEVIER SCI LTD	JOURNAL OF MANUFACTURING SYSTEMS	영국	02786125	14.2	0.5
12096	국제전문학술지(SCIE)	ELSEVIER	TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY	네덜란드	22141588	13.4	0.5
4725	국제전문학술지(SCIE)	ELSEVIER SCI LTD	CEMENT & CONCRETE COMPOSITES	영국	09589465	13.1	0.5
4726	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	CEMENT AND CONCRETE RESEARCH	영국	00088846	13.1	0.5
5754	국제전문학술지(SCIE)	GEORG THIEME VERLAG KG	ENDOSCOPY	독일	0013726X	12.8	0.5
15765	국제전문학술지(SSCI)	ELSEVIER SCI LTD	TECHNOLOGY IN SOCIETY	영국	0160791X	12.5	0.5
3924	국제전문학술지(SCIE)	KEAI PUBLISHING LTD	ARTIFICIAL INTELLIGENCE IN AGRICULTURE		20972113	12.4	0.5
9065	국제전문학술지(SCIE)	MOSBY-ELSEVIER	JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY	미국	01909622	11.8	0.5
13269	국제전문학술지(SSCI)	ELSEVIER SCI LTD	EDUCATIONAL RESEARCH REVIEW	영국	1747938X	10.6	0.5
14701	국제전문학술지(SSCI)	ELSEVIER SCIENCE INC	JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY	미국	08908567	9.5	0.5
5308	국제전문학술지(SCIE)	SPRINGER INT PUBL AG	CURRENT FORESTRY REPORTS	스위스	21986436	7.2	0.5
13021	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	COMPUTER ASSISTED LANGUAGE LEARNING	영국	09588221	6.6	0.5
14599	국제전문학술지(SSCI)	OXFORD UNIV PRESS	JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY	영국	10531858	6.3	0.5
12576	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF CRIMINOLOGY	미국	25724568	6.2	0.5
15843	국제전문학술지(SSCI)	SAGE PUBLICATIONS INC	TRAUMA VIOLENCE & ABUSE	미국	15248380	5.4	0.5
3626	국제전문학술지(SCIE)	PRINCETON UNIV, DEPT MATHEMATICS	ANNALS OF MATHEMATICS	미국	0003486X	5.3	0.5
15010	국제전문학술지(SSCI)	WILEY	NATIONS AND NATIONALISM	미국	13545078	2	0.5
10057	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS CHEMISTRY	영국	23973358	51.7	0.6
10043	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE MATERIALS	영국	14761122	38.5	0.6
3694	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF PATHOLOGY-MECHANISMS OF DISEASE	미국	15534006	34.5	0.6
3667	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS	미국	00664146	32.5	0.6
10046	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE METHODS	영국	15487091	32.1	0.6
10767	국제전문학술지(SCIE)	AMER PHYSIOLOGICAL SOC	PHYSIOLOGICAL REVIEWS	미국	00319333	28.7	0.6
9390	국제전문학술지(SCIE)	ELSEVIER SCI LTD	LANCET PUBLIC HEALTH	영국	24682667	25.2	0.6
14803	국제전문학술지(SSCI)	ELSEVIER SCI LTD	LANCET PUBLIC HEALTH	영국	24682667	25.2	0.6
3752	국제전문학술지(SCIE)	ELSEVIER	APPLIED CATALYSIS B-ENVIRONMENT AND ENERGY	네덜란드	09263373	21.1	0.6
12514	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	AMERICAN JOURNAL OF BIOETHICS	영국	15265161	20.8	0.6
6960	국제전문학술지(SCIE)	IEEE	IEEE-CAA JOURNAL OF AUTOMATICA SINICA	미국	23299266	19.2	0.6
5912	국제전문학술지(SCIE)	ELSEVIER	ETRANSPORTATION	네덜란드	25901168	17	0.6
10039	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE GEOSCIENCE	미국	17520894	16.1	0.6
6294	국제전문학술지(SCIE)	NOW PUBLISHERS INC	FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL	미국	15540669	12.9	0.6
12506	국제전문학술지(SSCI)	AMER ECONOMIC ASSOC	AMERICAN ECONOMIC REVIEW	미국	00028282	11.6	0.6
13023	국제전문학술지(SSCI)	PERGAMON-ELSEVIER SCIENCE LTD	COMPUTERS & EDUCATION	영국	03601315	10.5	0.6
15137	국제전문학술지(SSCI)	SAGE PUBLICATIONS INC	PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW	미국	10888683	10.4	0.6
9810	국제전문학술지(SCIE)	SPRINGERNATURE	MICROSYSTEMS & NANOENGINEERING	영국	20557434	9.9	0.6
13974	국제전문학술지(SSCI)	ELSEVIER SCIENCE INC	INTERNATIONAL REVIEW OF FINANCIAL ANALYSIS	미국	10575219	9.8	0.6
14453	국제전문학술지(SSCI)	SOUTHWESTERN LAW SCH	JOURNAL OF LEGAL EDUCATION	미국	00222208	4.8	0.6
15218	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	POSTCOLONIAL STUDIES	영국	13688790	1.8	0.6
17293	국제전문학술지(A&HCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	POSTCOLONIAL STUDIES	영국	13688790	1.8	0.6
10077	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE SUSTAINABILITY	영국	23989629	27.1	0.7
12311	국제전문학술지(SCIE)	WILEY	WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE	미국	17590876	27	0.7
7321	국제전문학술지(SCIE)	IOP PUBLISHING LTD	INTERNATIONAL JOURNAL OF EXTREME MANUFACTURING	영국	26318644	21.3	0.7
12106	국제전문학술지(SCIE)	CELL PRESS	TRENDS IN PHARMACOLOGICAL SCIENCES	영국	01656147	19.9	0.7
10020	국제전문학술지(SCIE)	SPRINGERNATURE	NATURE AGING	영국	26628465	19.5	0.7
6933	국제전문학술지(SCIE)	IEEE COMPUTER SOC	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE	미국	01628828	18.6	0.7
4832	국제전문학술지(SCIE)	ELSEVIER	CHINESE JOURNAL OF CATALYSIS	중국	02539837	17.7	0.7
10034	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE ECOLOGY & EVOLUTION	영국	2397334X	14.5	0.7
7632	국제전문학술지(SCIE)	ELSEVIER	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	네덜란드	09242716	12.2	0.7
6555	국제전문학술지(SCIE)	WILEY	GLOBAL CHANGE BIOLOGY	미국	13541013	12.1	0.7
9721	국제전문학술지(SCIE)	WILEY	MEDICINAL RESEARCH REVIEWS	미국	01986325	11.6	0.7
12577	국제전문학술지(SSCI)	ANNUAL REVIEWS	ANNUAL REVIEW OF ECONOMICS	미국	19411383	11.4	0.7
15728	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	STUDIES IN SCIENCE EDUCATION	영국	03057267	9.9	0.7
3530	국제전문학술지(SCIE)	LIPPINCOTT WILLIAMS & WILKINS	ANESTHESIOLOGY	미국	00033022	9.2	0.7
4455	국제전문학술지(SCIE)	ELSEVIER SCI LTD	BRITISH JOURNAL OF ANAESTHESIA	영국	00070912	9.2	0.7
14809	국제전문학술지(SSCI)	ELSEVIER	LANDSCAPE AND URBAN PLANNING	네덜란드	01692046	9.2	0.7
12571	국제전문학술지(SSCI)	PERGAMON-ELSEVIER SCIENCE LTD	ANNALS OF TOURISM RESEARCH	영국	01607383	7.8	0.7
13488	국제전문학술지(SSCI)	SPRINGER	FINANCIAL INNOVATION	영국	21994730	7.2	0.7
7192	국제전문학술지(SCIE)	WILEY	INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY	미국	20426976	6.8	0.7
11363	국제전문학술지(SCIE)	INT RHINOLOGIC SOC	RHINOLOGY	네덜란드	03000729	6.8	0.7
15768	국제전문학술지(SSCI)	ELSEVIER SCI LTD	TELECOMMUNICATIONS POLICY	영국	03085961	6.4	0.7
9644	국제전문학술지(SCIE)	ELSEVIER	MATHEMATICS AND COMPUTERS IN SIMULATION	네덜란드	03784754	4.4	0.7
8719	국제전문학술지(SCIE)	WALTER DE GRUYTER GMBH	JOURNAL OF NUMERICAL MATHEMATICS	독일	15702820	4	0.7
15195	국제전문학술지(SSCI)	CAMBRIDGE UNIV PRESS	POLITICS & GENDER	미국	1743923X	3.5	0.7
10055	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS CANCER	영국	1474175X	66.8	0.8
10059	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE REVIEWS DISEASE PRIMERS	영국	2056676X	60.6	0.8
4677	국제전문학술지(SCIE)	CELL PRESS	CELL	미국	00928674	42.5	0.8
9377	국제전문학술지(SCIE)	ELSEVIER SCIENCE INC	LANCET DIABETES & ENDOCRINOLOGY	미국	22138587	41.8	0.8
10024	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE BIOTECHNOLOGY	미국	10870156	41.7	0.8
3686	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF IMMUNOLOGY	미국	07320582	33.3	0.8
10038	국제전문학술지(SCIE)	NATURE PORTFOLIO	NATURE GENETICS	미국	10614036	29	0.8
3689	국제전문학술지(SCIE)	ANNUAL REVIEWS	ANNUAL REVIEW OF MEDICINE	미국	00664219	22.1	0.8
9388	국제전문학술지(SCIE)	ELSEVIER SCI LTD	LANCET PLANETARY HEALTH	영국	25425196	21.6	0.8
14801	국제전문학술지(SSCI)	ELSEVIER SCI LTD	LANCET PLANETARY HEALTH	영국	25425196	21.6	0.8
7388	국제전문학술지(SCIE)	ELSEVIER SCI LTD	INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE	영국	08906955	18.8	0.8
10032	국제전문학술지(SCIE)	SPRINGERNATURE	NATURE COMPUTATIONAL SCIENCE		26628457	18.3	0.8
6819	국제전문학술지(SCIE)	IEEE	IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE	미국	24732397	16.4	0.8
9376	국제전문학술지(SCIE)	ELSEVIER SCI LTD	LANCET CHILD & ADOLESCENT HEALTH	영국	23524642	15.5	0.8
12097	국제전문학술지(SCIE)	ELSEVIER SCIENCE LONDON	TRENDS IN FOOD SCIENCE & TECHNOLOGY	영국	09242244	15.4	0.8
13002	국제전문학술지(SSCI)	ELSEVIER	COMMUNICATIONS IN TRANSPORTATION RESEARCH		27724247	14.5	0.8
12420	국제전문학술지(SSCI)	ACAD MANAGEMENT	ACADEMY OF MANAGEMENT REVIEW	미국	03637425	13.9	0.8
7020	국제전문학술지(SCIE)	BMC	IMPLEMENTATION SCIENCE	영국	17485908	13.4	0.8
5086	국제전문학술지(SCIE)	ASSOC COMPUTING MACHINERY	COMMUNICATIONS OF THE ACM	미국	00010782	12.2	0.8
11270	국제전문학술지(SCIE)	WILEY	REVIEWS IN AQUACULTURE	미국	17535123	11.3	0.8
7525	국제전문학술지(SCIE)	LIPPINCOTT WILLIAMS & WILKINS	INTERNATIONAL JOURNAL OF SURGERY	네덜란드	17439191	10.3	0.8
8949	국제전문학술지(SCIE)	ELSEVIER	JOURNAL OF ROCK MECHANICS AND GEOTECHNICAL ENGINEERING	중국	16747755	10.2	0.8
5171	국제전문학술지(SCIE)	WILEY	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING	미국	10939687	9.1	0.8
15742	국제전문학술지(SSCI)	WILEY	SUSTAINABLE DEVELOPMENT	미국	09680802	8.2	0.8
8724	국제전문학술지(SCIE)	ELSEVIER	JOURNAL OF NURSING REGULATION	네덜란드	21558256	6.3	0.8
14520	국제전문학술지(SSCI)	ELSEVIER	JOURNAL OF NURSING REGULATION	네덜란드	21558256	6.3	0.8
4885	국제전문학술지(SCIE)	WILEY	CLADISTICS	미국	07483007	6.2	0.8
15387	국제전문학술지(SSCI)	SAGE PUBLICATIONS LTD	RELC JOURNAL	영국	00336882	6.2	0.8
15174	국제전문학술지(SSCI)	OXFORD UNIV PRESS	POLICY AND SOCIETY	영국	14494035	6.1	0.8
4746	국제전문학술지(SCIE)	PERGAMON-ELSEVIER SCIENCE LTD	CHAOS SOLITONS & FRACTALS	영국	09600779	5.6	0.8
6494	국제전문학술지(SCIE)	GEOLOGICAL SOC AMER, INC	GEOLOGY	미국	00917613	4.6	0.8
