순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
8421	국제전문학술지(SCIE)	ELSEVIER	JOURNAL OF INFECTION AND CHEMOTHERAPY	네덜란드	1341321X	1.5	75.7
8636	국제전문학술지(SCIE)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF MOTOR BEHAVIOR	영국	00222895	1.2	75.7
11723	국제전문학술지(SCIE)	HUMAN KINETICS PUBL INC	SPORT PSYCHOLOGIST	미국	08884781	1.2	75.7
11912	국제전문학술지(SCIE)	WALTER DE GRUYTER GMBH	TENSIDE SURFACTANTS DETERGENTS	독일	09323414	1.2	75.7
3247	국제전문학술지(SCIE)	WILEY	ADVANCES IN HIGH ENERGY PHYSICS	영국	16877357	1.1	75.8
5090	국제전문학술지(SCIE)	SAGE PUBLICATIONS LTD	COMMUNITY DENTAL HEALTH	영국	0265539X	1	75.8
2971	국제전문학술지(SCIE)	AMER ASSOC TEXTILE CHEMISTS COLORISTS-AATCC	AATCC REVIEW	미국	15328813	0.7	75.8
9885	국제전문학술지(SCIE)	TAYLOR & FRANCIS LTD	MOLECULAR CRYSTALS AND LIQUID CRYSTALS	영국	15421406	0.7	75.8
11905	국제전문학술지(SCIE)	E.U. PRINTING AND PUBLISHING HOUSE	TEKSTIL VE KONFEKSIYON	튀르키예	13003356	0.7	75.8
7114	국제전문학술지(SCIE)	TAYLOR & FRANCIS LTD	INHALATION TOXICOLOGY	영국	08958378	2	75.9
9506	국제전문학술지(SCIE)	WILEY-V C H VERLAG GMBH	MACROMOLECULAR REACTION ENGINEERING	독일	1862832X	1.3	75.9
12169	국제전문학술지(SCIE)	SPRINGER	UNFALLCHIRURGIE	미국	27317021	0.7	75.9
3842	국제전문학술지(SCIE)	SPRINGER HEIDELBERG	ARCHIVE FOR MATHEMATICAL LOGIC	독일	09335846	0.4	75.9
9625	국제전문학술지(SCIE)	WILEY-V C H VERLAG GMBH	MATHEMATICAL LOGIC QUARTERLY	독일	09425616	0.4	75.9
15386	국제전문학술지(SSCI)	REVUE RELATIONS INDUSTRIELLES INDUSTRIAL RELATIONS	RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS	캐나다	0034379X	0.6	76
15678	국제전문학술지(SSCI)	EDUCATION ASSOC SOUTH AFRICA	SOUTH AFRICAN JOURNAL OF EDUCATION	남아프리카공화국	02560100	0.5	76
5697	국제전문학술지(SCIE)	ELECTROCHEMICAL SOC JAPAN	ELECTROCHEMISTRY	일본	13443542	1.8	76.1
12901	국제전문학술지(SSCI)	SPRINGER	CHILD & YOUTH CARE FORUM	미국	10531890	1.6	76.1
